Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,difference
2009-11-16,1094.13,1113.69,1094.13,1109.3,4565850000,0,0,0.013864897224278508
2009-11-17,1109.22,1110.52,1102.19,1110.32,3824070000,0,0,0.0009916878527252565
2009-11-18,1109.44,1111.1,1102.7,1109.8,4293340000,0,0,0.0003244880299970255
2009-11-19,1106.44,1106.44,1088.4,1094.9,4178030000,0,0,-0.010429847077112146
2009-11-20,1094.66,1094.66,1086.81,1091.38,3751230000,0,0,-0.00299636416786945
2009-11-23,1094.86,1112.38,1094.86,1106.24,3827920000,0,0,0.010394022980107146
2009-11-24,1105.83,1107.56,1097.63,1105.65,3700820000,0,0,-0.00016277366322114275
2009-11-25,1106.49,1111.18,1104.75,1110.63,3036350000,0,0,0.0037415611528347297
2009-11-27,1105.47,1105.47,1083.74,1091.49,2362910000,0,0,-0.012646204781676587
2009-11-30,1091.07,1097.24,1086.25,1095.63,3895520000,0,0,0.004179383540927872
2009-12-01,1098.89,1112.28,1098.89,1108.86,4249310000,0,0,0.009072791635195332
2009-12-02,1109.03,1115.58,1105.29,1109.24,3941340000,0,0,0.00018935466128061133
2009-12-03,1110.59,1117.28,1098.74,1099.92,4810030000,0,0,-0.009607505920276472
2009-12-04,1100.43,1119.13,1096.52,1105.98,5781140000,0,0,0.005043483002099138
2009-12-07,1105.52,1110.72,1100.83,1103.25,4103360000,0,0,-0.0020533323684781657
2009-12-08,1103.04,1103.04,1088.61,1091.94,4748030000,0,0,-0.010063098346388081
2009-12-09,1091.07,1097.04,1085.89,1095.95,4115410000,0,0,0.004472673613975372
2009-12-10,1098.69,1106.25,1098.69,1102.35,3996490000,0,0,0.003331239931190649
2009-12-11,1103.96,1108.5,1101.34,1106.41,3791090000,0,0,0.00221928330736625
2009-12-14,1107.84,1114.76,1107.84,1114.11,4548490000,0,0,0.005659662045060643
2009-12-15,1114.11,1114.11,1105.35,1107.93,5045100000,0,0,-0.005547028569889721
2009-12-16,1108.61,1116.21,1107.96,1109.18,4829820000,0,0,0.0005141573682360467
2009-12-17,1106.36,1106.36,1095.88,1096.08,7615070000,0,0,-0.009291731443653037
2009-12-18,1097.86,1103.74,1093.88,1102.47,6325890000,0,0,0.004199078206693138
2009-12-21,1105.31,1117.68,1105.31,1114.05,3977340000,0,0,0.007907283929395381
2009-12-22,1114.51,1120.27,1114.51,1118.02,3641130000,0,0,0.003149366089133333
2009-12-23,1118.84,1121.58,1116.0,1120.59,3166870000,0,0,0.001564119981409317
2009-12-24,1121.08,1126.48,1121.08,1126.48,1267710000,0,0,0.004816783815606461
2009-12-28,1127.53,1130.38,1123.51,1127.78,2716400000,0,0,0.00022172359050313516
2009-12-29,1128.55,1130.38,1126.08,1126.2,2491020000,0,0,-0.002082318018696477
2009-12-30,1125.53,1126.42,1121.94,1126.42,2277300000,0,0,0.0007907385853776444
2009-12-31,1126.6,1127.64,1114.81,1115.1,2076990000,0,0,-0.010207704597905203
2010-01-04,1116.56,1133.87,1116.56,1132.99,3991400000,0,0,0.014714838432327923
2010-01-05,1132.66,1136.63,1129.66,1136.52,2491020000,0,0,0.003407907050659421
2010-01-06,1135.71,1139.19,1133.95,1137.14,4972660000,0,0,0.0012591242482676596
2010-01-07,1136.27,1142.46,1131.32,1141.69,5270680000,0,0,0.004769993047427172
2010-01-08,1140.52,1145.39,1136.22,1144.98,4389590000,0,0,0.003910496966296108
2010-01-11,1145.96,1149.74,1142.02,1146.98,4255780000,0,0,0.0008900834235051675
2010-01-12,1143.81,1143.81,1131.77,1136.22,4716160000,0,0,-0.00663571747055885
2010-01-13,1137.31,1148.4,1133.18,1145.68,4170360000,0,0,0.007359471032524218
2010-01-14,1145.68,1150.41,1143.8,1148.46,3915200000,0,0,0.002426506528873658
2010-01-15,1147.72,1147.77,1131.39,1136.03,4758730000,0,0,-0.010185411075872211
2010-01-19,1136.03,1150.45,1135.77,1150.23,4724830000,0,0,0.012499669903083585
2010-01-20,1147.95,1147.95,1129.25,1138.04,4810560000,0,0,-0.008632780173352568
2010-01-21,1138.68,1141.58,1114.84,1116.48,6874290000,0,0,-0.0194962588260091
2010-01-22,1115.49,1115.49,1090.18,1091.76,6208650000,0,0,-0.02127316246671868
2010-01-25,1092.4,1102.97,1092.4,1096.78,4481390000,0,0,0.004009520322226182
2010-01-26,1095.8,1103.69,1089.86,1092.17,4731910000,0,0,-0.0033126482934841047
2010-01-27,1091.94,1099.51,1083.11,1097.5,5319120000,0,0,0.005091854863820306
2010-01-28,1096.93,1100.22,1078.46,1084.53,5452400000,0,0,-0.011304276480723557
